Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,City,State
84,Cisco,Telecom hardware manufacturing,51557,0.04,83300,San Jose, California
85,Nationwide Mutual Insurance Company,Financial,51450,0.09,24791,Columbus, Ohio
86,Allstate,Insurance,51412,0.03,54250,Northfield Township, Cook County
87,Delta Air Lines,Airline,50582,0.69,95000,Atlanta, Georgia
88,Liberty Mutual,Insurance,49956,0.04,50000,Boston, Massachusetts
89,TJX,Retail,49936,0.03,329000,Framingham, Massachusetts
90,Progressive Corporation,Insurance,49611,0.04,55063,Mayfield Village, Ohio
91,American Airlines,Airline,48971,0.64,129700,Fort Worth, Texas
92,CHS,Agriculture cooperative,47194,0.24,10014,Inver Grove Heights, Minnesota
93,Performance Food Group,Food processing,47194,0.62,34825,Richmond, Virginia
94,PBF Energy,Petroleum industry,46830,0.72,3616,Parsippany–Troy Hills, New Jersey
95,Nike,Apparel,46710,0.05,79100,Beaverton, Oregon
96,Best Buy,Retail,46298,0.11,71100,Richfield, Minnesota
97,Bristol-Myers Squibb,Pharmaceutical industry,46159,0.01,34300,New York City, New York
98,United Airlines,Airline,44955,0.83,92795,Chicago, Illinois
99,Thermo Fisher Scientific,Laboratory instruments,44915,0.15,130000,Waltham, Massachusetts
100,Qualcomm,Technology,44200,0.32,51000,San Diego, California
